latitude,longitude,year,featureid
42.556393,-71.8745829,2002,201477482
42.6090023,-71.8079319,2002,201476697
42.5851944,-71.7710833,2002,201476887
42.5927794,-71.8614967,2002,201476988
42.6077683,-71.9209573,2002,201476989
42.6105877,-71.8729791,2002,201476836
42.6184755,-71.8730658,2002,201476761
42.6278767,-71.8840394,2002,201476649
42.486534,-73.128252,2002,201481111
42.48489,-73.14709,2002,201481279
42.425331,-73.206385,2002,201482476
42.29465,-73.23915,2002,201484530
42.247563,-73.206475,2002,201485204
42.45141,-73.12845,2002,201481711
42.355089,-73.378807,2002,201484073
42.54258,-73.31685,2002,202956988
42.608441,-73.28474181,2002,202955950
42.68076,-73.08389,2002,202954519
42.2783707,-73.3595441,2002,201485158
42.517176,-73.091456,2002,201480643
42.42775,-73.13479,2002,201482047
42.19265,-73.39983,2002,201486839
42.49115,-73.2817,2002,201481502
42.50707,-71.75282,2002,201477672
42.46835,-71.747662,2002,201478031
42.6133558,-71.9235758,2002,201476919
42.4111388,-71.7201944,2002,201478680
42.22135,-73.18243,2002,201485644
42.30028,-73.20361,2002,201484467
42.4838,-73.0963,2002,201481088
42.4738,-73.0894,2002,201481315
42.1202,-73.2697,2002,201487483
42.4761,-73.1286,2002,201481284
42.2497,-73.2083,2002,201485204
42.2551334,-71.2936294,2002,201479588
41.8979879,-70.9789922,2002,201484004
41.91712,-70.86669,2002,201483314
41.80241,-70.92368,2002,201485588
41.86472,-70.99898,2002,201484590
42.28108,-72.73177,2002,201483259
42.2144782,-72.7242982,2002,201484581
42.2883734,-72.776181,2002,201483246
42.2452926,-72.7989691,2002,201484006
42.2196017,-72.7464082,2002,201484249
42.271258,-72.450837,2002,201482612
42.2866223,-72.563356,2002,201482673
42.2507918,-72.4706494,2002,201483179
42.1,-72.51865,2002,201485833
42.0434333,-72.3732,2002,201486123
42.039,-72.6278,2002,201487058
42.3221503,-72.4398936,2002,201481719
42.2028383,-72.7638815,2002,201484698
42.14686,-72.632824,2002,201485400
42.0513666,-72.3851333,2002,201486016
42.0780833,-72.3949,2002,201485695
42.153041,-72.637819,2002,201485151
42.047358,-72.558663,2002,201486629
42.0482333,-72.4539333,2002,201486528
42.0423166,-72.3851666,2002,201486259
42.065783,-72.41985,2002,201485917
42.2314532,-72.7114485,2002,201483965
42.281365,-72.426614,2002,201482423
42.26514,-72.0053,2002,201481331
42.62247,-72.45891,2002,201477902
42.42133,-72.64713,2002,201480856
42.55672,-73.12447,2002,202956201
42.58294,-73.10733,2002,202955856
42.71692,-73.22366,2002,202954256
42.73458,-73.07086,2002,202953642
42.3037037,-72.764749,2002,201483060
42.2000455,-72.7688203,2002,201484665
